name1,name2,street1,street2,city,state,zip,phone,intake1,intake2,intake1a,intake2a,service_code_info
Aletheia House,,4246 5th Avenue South,,Birmingham,AL,35222,205-324-6502,,,,,SA * RES RL * BU * RPE * ACMA * AURPE * BUM UB MOA * BWN NSC * ANG CBT CMI MOTI MXM RELP SACA TELE TRC * STMH * FSA MC MD MI SF SAMF * WN PW * CSAA ISC OPC STU SSA SMHD * BABA DAOF DAUT HIVT TBS * ACC DP NOE OFD * SHG HS AOSS PEER EMP * HAEC TAEC HEOH SAE TCC ICO GCO FCO VOC * YAD ADLT SNR * FEM * AH * BC CM CCC DVFP EIH SSD TA SPS
Aletheia House,,201 Finley Avenue West,,Birmingham,AL,35204,205-324-6502,,,,,SA * OP OIT ORT * BU NU * INPE RPE * ACMA * AUINPE AURPE * UB MOA * BWN NXN NSC * ANG CBT CMI MOTI MXM RELP SACA TELE TRC * STMH STDH * FSA MC MD MI SF SAMF * MN CJ HV TRMA * CSAA ISC OPC STU SSA SMHD * BABA DAOF DAUT HIVT TBS * ACC DP NOE OFD * SHG HS AOSS PEER EMP * HAEC TAEC HEOH SAE TCC ICO GCO FCO VOC * YAD ADLT * FEM MALE * AH * CM EIH SSD TA SPS
Aletheia House,Men Only,135 Finley Avenue West,,Birmingham,AL,35204,205-328-3600,205-324-6502 x10,,,,SA * RES RL * BU NU * INPE RPE * ACMA * AUINPE AURPE * BUM UB MOA * BWN NXN * ANG CBT CMI MOTI MXM RELP SACA TELE TRC * STMH * FSA MC MD MI SF SAMF * MN CJ HV * CSAA ISC OPC STU SSA SMHD * BABA DAOF DAUT HIVT TBS * ACC DP NOE OFD * SHG HS AOSS PEER EMP * HAEC TAEC HEOH SAE TCC ICO GCO FCO VOC * YAD ADLT SNR * MALE * AH * CM SSD TA SPS
AppleGate Recovery,Birmingham,120 Oxmoor Boulevard,Suite 180,Birmingham,AL,35209,205-877-8585,,,,,SA * OP OMB ORT * BU * NAUT * BUM UB * BWN BWON * RELP SACA * PVTP * SF * CSAA SSA * DAOF DAUT * SAE * SMPD * YAD ADLT * FEM MALE * OUDO * VPPD
Birmingham Metro Treatment Center,Metro Treatment of Alabama LP,151 Industrial Drive,,Birmingham,AL,35211,205-941-1799,,,,,SA * OP OMB ORT * MU BU * NAUT * BUM OTP MM MWS * METH BWN BWON * ANG BIA MOTI RELP SACA TELE * PVTP * STAG STMH CARF SOTP DEA * FSA MC MD SF * PW HV * CSAA OPC MHPA SSA * BABA DAOF DAUT HIVT STDT TBS * ACC DP NOE OFD * HS AOSS PEER * TOD * HAEC TAEC HEOH SAE ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * OUDO * VPPD * CM MHS SSD TA
Birmingham VA Healthcare System,Birmingham East VA East Clinic,7901 Crestwood Boulevard,,Birmingham,AL,35210,205-957-5300,205-957-5300 x33550,205-933-8101 x2232,,,SA SUMH * OP OIT OMB ORT * GH * BU NU * PC * PMAT * AUPC * BUM UN RPN MOA MWS * ACM DSF BWN BWON NXN VTRL CLND MMD NRT NSC * BIA CBT CMI MOTI RELP SACA TELE TWFA * FED VAMC * CARF JC DEA * MC MD MI PI * CO COPSU * CMHA CSAA ISC OPC MHPA STU SSA SMHD PIEC * BABA DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * SHG HS AOSS RC PEER EMP * TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO VOC * HAV HBV * SMON * YAD ADLT * FEM MALE * AH * VAPN * CM DVFP EIH MHS SSD TA SPS
Bradford Health Services,Birmingham Regional Office/Jefferson,300 Century Park South,Suite 100,Birmingham,AL,35226,205-547-2727,888-762-3740,,,,SA * OP OIT OMB ORT * BU NU * INPE RPE PC * ACMA PMAT * AUINPE AURPE AUPC * BUM UB UN RPN MOA * ACM BSDM BWN BWON BERI NXN VTRL MMD NRT * ANG BIA CBT CMI CRV MOTI MXM RELP SACA TELE TRC TWFA * PVTP * STAG STMH JC * PI SF * TAY WN MN * CSAA OPC MHPA STU SSA * BABA DAUT TBS * ACC DP NOE OFD * SHG PEER * TGD * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * VPPD * CM SPS
Fellowship House Inc,,1625 12th Avenue South,,Birmingham,AL,35205,205-933-2430,205-933-2430 x402,,,,SA SUMH * OP RES OMB ORT RL * BU NU * INPE RPE * ACMA PMAT * AUINPE AURPE AUPC * UB UN RPN MOA * BWN BWON NXN * ANG MOTI RELP SACA TELE TWFA * PVTN * STAG STMH STDH * FSA SF SAMF * PA SS * WN MN CO * CSAA ISC OPC STU SSA SMHD * BABA DAOF DAUT HIVT TBS * ACC DP NOE OFD * SHG HS AOSS RC PEER EMP * HAEC HEOH SAE TCC ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * AH * VPPD * CM EIH SSD
Kolbe Clinic,Birmingham,1830 Montclair Road,Suite A,Birmingham,AL,35210,205-775-0300,,,,,SA DT SUMH * OP OD OMB ORT * BU NU * PMAT * AUINPE * BUM UB RPN * BSDM BWN BWON BERI NXN VTRL NSC * ANG BIA CBT CMI MOTI SACA TELE TRC TWFA * PVTP * STMH * FSA MC PI SF SI * SS * CSAA OPC MHPA STU SSA SMHD * DAUT HIVT HCT * ACC DP NOE * SHG AOSS PEER * TGD * BDTX CDTX MDTX ODTX MDET * SAE TCC ICO GCO * SMPD * YAD ADLT * FEM MALE * VPPD * CM
Pathway Healthcare,,48 Medical Park Drive East,Suite 453,Birmingham,AL,35235,205-517-7730,,,,,SA SUMH * OP OMB ORT * BU NU * PMAT * AUINPE * BUM UB UN RPN * ACM DSF BSDM BWN BWON BERI NXN VTRL MHCV LFXD CLND MMD NRT NSC * ANG BIA CBT CMI MOTI RELP SACA TELE TRC * PVTP * STDH JC * MC MD MI PI SF SI * CMHA CSAA OPC MHPA STU SSA SMHD * BABA DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * HS AOSS PEER * TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * SMON * YAD ADLT * FEM MALE * VAPN * CM DVFP MHS TA SPS
Taproot Therapy Collective,,2025 Shady Crest Drive,2nd Floor,Birmingham,AL,35216,205-999-9240,,,,,SA SUMH * OP ORT * NMAUT * NOOP * ANG BIA CBT CMI MOTI RELP SACA TELE TRC * PVTP * PI SF * SS * AD TAY WN PW MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * ACC DP NOE OFD * HS AOSS RC PEER EMP * TGD TOD * SAE TCC ICO GCO FCO * SMON * ADLT SNR * FEM MALE * VAPN * DVFP MHS SSD SPS
Tri County Treatment Center,Metro Treatment of Alabama LP,5605 Clifford Circle,,Birmingham,AL,35210,205-836-3345,,,,,SA DT * OP OD OMB ORT * MU BU * NAUT * BUM OTP MM * METH BWN BWON * ANG BIA CBT MOTI RELP SACA TELE TWFA * PVTP * STAG STMH CARF SOTP DEA * FSA MC MD MI PI SF SAMF * WN PW MN SE * CSAA ISC OPC MHPA STU SSA SMHD PIEC * BABA DAOF DAUT TBS MST * ACC DP NOE OFD * SHG HS AOSS PEER EMP * ODTX MDET * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * OUDO * VPPD * CM SSD IPC SPS
University of Alabama at Birmingham,Addiction Recovery Program,1713 6th Avenue South,,Birmingham,AL,35249,205-975-7350,,,,,SA SUMH * OP OIT OMB ORT * GH * BU NU * INPE RPE PC * ACMA PMAT * AUINPE AURPE AUPC * BUM UB UN RPN MOA MWS * ACM DSF BSDM BWN BWON NXN VTRL CLND MMD NRT NSC * ANG BIA CBT MOTI RELP SACA TELE TRC TWFA * STG * HLA JC * PI SF * TRMA * CSAA OPC SSA * BABA DAOF DAUT * ACC DP NOE * PEER * SAE ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * AH * VPPD * CM
University of Alabama at Birmingham,Beacon Recovery,401 Beacon Parkway West,Suite 150,Birmingham,AL,35209,205-934-2645,,,,,SA SUMH * OP OIT OMB ORT * BU NU * PMAT * AUINPE * BUM UB UN RPN MWS * BWN BWON BERI NXN VTRL MMD * CBT CMI MOTI RELP SACA TELE TRC * PVTN * STAG * FSA MD SF * PA SS * AD WN CJ CO TRMA * CSAA ISC OPC SSA SMHD * DAUT HIVT TBS MST HBT HCT * ACC DP NOE * HS AOSS PEER EMP * HAEC TAEC HEOH SAE ICO GCO FCO * HBV * SMOP * ADLT SNR * FEM MALE * AH * VAPP * CM EIH MHS IPC
Zukoski Outpatient,,601 Princeton Avenue SW,,Birmingham,AL,35211,205-785-5787,,,,,SA SUMH * OP OIT OMB ORT * BU NU * INPE RPE * ACMA * AUINPE AURPE * MOA MWS * ANG BIA CBT CMI MOTI MXM RELP SACA TELE TRC TWFA * PVTN * STAG STMH STDH * FSA SF SAMF * PA SS * CO COPSU TRMA * CSAA ISC OPC STU SSA SMHD PIEC * DAOF DAUT * ACC DP NOE OFD * RC PEER * TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * VPPD * CM EIH MHS SSD IPC SPS
West Alabama Mental Health Center,,401 Rodgers Street,,Butler,AL,36904,205-459-2612,800-239-2901,334-289-2410,,,SA * OP ORT * RPE PC * ACMA * AURPE AUPC * MOA * MMD * ANG BIA CBT CMI CRV MOTI RELP SACA TELE TRC * PVTN * STAG STMH STDH * FSA MD MI PI SF SI * PA SS * WN MN CO * CMHA CSAA ISC OPC STU SSA SMHD * DAUT TBS * ACC DP * SHG HS AOSS PEER EMP * SAE ICO GCO FCO MCO * SMON * YAD ADLT * FEM MALE * AH * VAPN * CM MHS SSD
Central Alabama Wellness,,151 Hamilton Lane,,Calera,AL,35040,205-651-0077,,,,,SA * OP ORT * PC * ACMA * AUPC * MOA * MMD * ANG BIA CBT MOTI MXM RELP SACA TELE TRC * STG * STAG STMH * FSA MC MD PI SF SI SAMF * SS * CMHA CSAA ISC OPC STU SSA SMHD PIEC * DAUT TBS * ACC DP NOE OFD * HS AOSS PEER EMP * HAEC TAEC HEOH SAE ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * AH * VPPD * CM MHS SSD SPS
Cherokee Etowah Dekalb CMHC,Cherokee County Office,200 Dean Buttram Senior Avenue,,Centre,AL,35960,256-492-7800,,,,,SA SUMH * OP ORT * RPE * ACMA * AURPE * MOA * ANG BIA CBT MOTI RELP SACA TELE TRC * PVTN * STAG STMH * FSA MD SAMF * SS * CMHA CSAA ISC OPC MHPA SSA SMHD PIEC * DAUT TBS * DP OFD * AOSS * HAEC SAE TCC ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * AH * VPPD * CM MHS SSD SPS
Family Life Center Inc,,141 Main Street,,Centre,AL,35960,256-927-4722,,,,,SA * OP ORT * RPE PC * ACMA * AURPE AUPC * MOA * ANG BIA CBT CMI MOTI MXM RELP SACA TELE TRC * PVTN * STAG STMH * FSA MD PI SF * PA SS * CSAA ISC OPC STU SSA SMHD * DAUT TBS * ACC DP NOE OFD * AOSS PEER * HAEC TAEC HEOH SAE TCC ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * AH * VPPD * CM SSD
Washington County Hosp/Nursing Home,Journey Detox and Recovery LLC,14600 Saint Stephens Avenue,,Chatom,AL,36518,251-847-2223 x287,251-847-4287,251-233-3071,,,DT * HI HID * GH * NMAUT * NMOA * SACA TWFA * LCCG * FQHC SOTP * MC MD MI PI SF * WN MN GL VET MF CJ CO HV XA * OPC * DAUT * ACC DP OFD * SHG HS RC PEER * ADTX BDTX ODTX MDET * SAE ICO GCO * SMPD * YAD ADLT * FEM MALE * VAPP
Kolbe Clinic,Chelsea,109 Foothills Parkway,Suite 113,Chelsea,AL,35043,205-618-9899,,,,,SA DT SUMH * OP OD OMB ORT * BU NU * PMAT * AUINPE * BUM UB * BWN BWON * ANG BIA CBT CMI MOTI RELP SACA TELE TRC TWFA * PVTP * STMH * FSA MC MI PI SF SI * SS * CSAA OPC MHPA STU SSA SMHD * DAUT HIVT HCT * ACC DP NOE * AOSS PEER * TGD * BDTX CDTX MDTX ODTX MDET * SAE ICO GCO * SMPD * YAD ADLT * FEM MALE * VPPD * CM
Central Alabama Wellness,,110 Medical Center Drive,,Clanton,AL,35045,205-651-0077,,,,,SA SUMH * OP ORT * PC * ACMA * AUPC * MOA * MMD * ANG BIA CBT MOTI MXM RELP SACA TELE TRC * PVTN * STAG STMH * FSA MC MD PI SF SI SAMF * SS * CMHA CSAA ISC OPC STU SSA SMHD PIEC * DAUT TBS * ACC DP NOE OFD * HS AOSS PEER EMP * HAEC TAEC HEOH SAE ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * AH * VPPD * CM DVFP MHS SSD SPS
Chilton County Treatment Center,,2100 Holiday Inn Drive,,Clanton,AL,35046,205-755-4300,,,,,SA DT SUMH * OP OD OIT OMB ORT * MU BU NU * PMAT * AUINPE AURPE AUPC * DB BUM OTP DM MM UB UN RPN MWS * ACM DSF METH BSDM BWN BWON BERI NXN VTRL MHIV MHCV LFXD CLND MMD NRT NSC * ANG BIA CBT CMI MOTI MXM RELP SACA TELE TRC TWFA * PVTP * STAG STMH CARF SOTP DEA * FSA MC MD PI SF SAMF * PA SS * TAY WN PW MN SE GL VET ADM MF CJ CO COPSU HV XA DV TRMA * CMHA CSAA ISC OPC MHPA STU SSA SMHD PIEC * BABA DAOF DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * SHG HS AOSS RC PEER EMP * TOD * ADTX BDTX CDTX MDTX ODTX MDET * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO VOC * HAV HBV * SMPD * YAD ADLT * FEM MALE * DU * AH SP FX * F47 * VPPD * CM DVFP EIH MHS SSD TA SPS
BHG Cullman Treatment Center,TTC LLC,1912 Commerce Avenue NW,,Cullman,AL,35055,256-739-5595,,,,,SA * OP OMB * MU BU * NAUT * BUM OTP MM * METH BWN * CBT MOTI MXM RELP SACA TELE * PVTP * STAG JC SOTP DEA * MC MD PI SF * WN PW MN * CSAA ISC SSA * DAUT TBS * DP NOE OFD * HS AOSS * SAE TCC ICO GCO FCO * SMOP * YAD ADLT * FEM MALE * OUDO * AH * VAPP
Bridge Inc,Recovery Center for Teens/Cullman,402 Arnold Street NE,Suite 104,Cullman,AL,35055,256-775-8301,,256-546-6324 x204,,,SA * OP ORT * NMAUT * NMOA * ANG CBT MOTI RELP SACA TELE TRC * PVTN * STAG STMH * FSA MD PI SAMF * PA * AD CJ CO TRMA * CSAA ISC OPC STU SSA * DAUT TBS * ACC DP NOE OFD * HS AOSS EMP * HAEC TAEC HEOH SAE TCC ICO GCO FCO * SMON * CHLD YAD ADLT * FEM MALE * AH * VAPN * CM EIH SSD SPS
Lighthouse Inc,,445 County Road 773,,Cullman,AL,35055,256-796-0013,,,,,SA HH * RES RL * BU NU * PC * ACMA * AUPC * BUM MOA * BWN NXN * ANG CBT MOTI RELP SACA TRC TWFA * PVTN * STAG STMH * FSA SF * TAY MN VET CJ CO COPSU HV XA TRMA * CSAA ISC OPC MHPA STU * DAUT TBS * ACC DP OFD * SHG HS PEER * HAEC TAEC SAE ICO GCO * SMPD * YAD ADLT SNR * MALE * VPPD * CM
WellStone Inc,,1909 Commerce Avenue,,Cullman,AL,35055,256-734-4688 x3971,256-255-1020,256-734-4688 x111,,,SA SUMH * OP OIT ORT * NU * PC * PMAT * AUPC * UN RPN MOA MWS * DSF NXN VTRL CLND MMD NRT NSC * CBT CMI MOTI MXM RELP SACA TRC TWFA * LCCG * STAG STMH * FSA MC MD MI PI SF SAMF * SS * AD * CMHA CSAA ISC OPC MHPA STU SSA SMHD * DAUT TBS * ACC DP NOE * HS AOSS PEER EMP * HAEC HEOH SAE TCC ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * AH * VPPD * CM MHS SSD TA SPS
New Pathways Addiction,Treatment Clinic,1203 U.S. Highway 98,Suite 4-F,Daphne,AL,36526,251-298-8077,,,,,SA * OP OMB ORT * BU NU * PMAT * AUINPE * BUM UB UN RPN MWS * ACM DSF BWN BWON BERI NXN VTRL CLND MMD NRT NSC * BIA CMI RELP SACA TELE * PVTP * STAG SOTP * SF * CSAA OPC MHPA SSA SMHD * DAUT MST HBT HCT * ACC NOE * RC * SAE TCC * SMON * ADLT SNR * FEM MALE * VAPN * CM IPC
Pathway Healthcare,,28119 North Main Street,Suite B,Daphne,AL,36526,251-214-0040,,,,,SA SUMH * OP OMB ORT * BU NU * PMAT * AUINPE * BUM UB UN * ACM DSF BWN BERI NXN VTRL MHCV LFXD CLND MMD NRT NSC * ANG BIA CBT CMI MOTI RELP SACA TELE TRC * PVTP * STDH JC * MC MI PI SF SI * CMHA CSAA MHPA STU SSA SMHD * BABA DAOF DAUT HIVT MST HBT HCT * ACC DP NOE OFD * HS AOSS * TGD TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO * SMPD * YAD ADLT * FEM MALE * VPPD * CM MHS TA SPS
Decatur Morgan Hospital,Another Chance,1201 7th Street SE,,Decatur,AL,35601,256-973-6190,256-973-6710,,,,DT * HI HID * GH * BU NU * PMAT * AUINPE * UB UN * ACM DSF BWN BWON NXN VTRL MHIV CLND MMD NRT NSC * BIA MOTI RELP SACA * PVTN * STMH STDH * MC MD PI SF * CSAA OPC MHPA STU SSA SMHD PIEC * BABA DAUT HIVT STDT TBS MST HBT HCT * ACC DP NOE OFD * HS AOSS * ADTX BDTX ODTX MDET * HAEC TAEC HEOH SAE TCC * HAV HBV * SMON * CHLD ADLT * FEM MALE * AH * VAPN * CM IPC SPS
Family Life Center Inc,,522 14th Street SE,,Decatur,AL,35601,256-355-3703,,,,,SA * OP ORT * RPE PC * ACMA * AURPE AUPC * MOA * ANG BIA CBT CMI MOTI MXM RELP SACA TELE TRC * PVTN * STAG STMH * FSA MD PI SF * PA SS * CSAA ISC OPC STU SSA SMHD * DAUT TBS * ACC DP NOE OFD * AOSS PEER * HAEC TAEC HEOH SAE TCC ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * AH * VPPD * CM SSD
West Alabama Mental Health Center,,1215 South Walnut Avenue,,Demopolis,AL,36732,800-239-2901,,334-289-2410,,,SA * OP ORT * RPE PC * ACMA * AURPE AUPC * MOA * MMD * ANG BIA CBT CMI CRV MOTI RELP SACA TELE TRC * PVTN * STAG STMH STDH * FSA MD MI PI SF SI * PA SS * WN MN CO * CMHA CSAA ISC OPC STU SSA SMHD * DAUT TBS * ACC DP * SHG HS AOSS PEER EMP * SAE ICO GCO FCO MCO * SMON * YAD ADLT * FEM MALE * AH * VAPN * CM MHS SSD
Dothan Houston County Drug,Treatment Center,300 Columbia Highway,Suite 3,Dothan,AL,36301,334-671-2231,,334-699-1545,,,SA SUMH * OP OIT ORT * RPE * ACMA * AURPE * MOA * ANG CBT CMI MOTI RELP SACA TELE TRC TWFA * PVTN * STAG STMH * FSA MD PI SF * PA SS * AD TAY WN PW MN SE GL VET ADM MF CJ CO COPSU XA DV TRMA * CMHA CSAA ISC OPC STU SSA SMHD PIEC * BABA DAOF DAUT HIVT STDT TBS HBT HCT * ACC DP NOE OFD * SHG HS AOSS RC PEER EMP * TGD TOD * HAEC TAEC HEOH SAE TCC ICO GCO FCO MCO VOC * SMON * ADLT SNR * FEM MALE * VAPN * CM DVFP EIH MHS SSD TA IPC SPS
SpectraCare Health Systems,Adult Outpatient Program,1672 Columbia Highway,,Dothan,AL,36302,800-951-4357,,,,,SA SUMH * OP OIT OMB ORT * BU NU * NMAUT ACMA PMAT * AUINPE * BUM UB UN MWS * ACM BWN NXN CLND MMD NSC * CBT MXM RELP SACA * PVTN * STAG STMH COA NCQA SOTP * FSA MC MD MI PI SF SI SAMF * SS * TAY WN PW MN SE GL VET ADM MF CJ CO COPSU TRMA * CMHA CSAA ISC STU SSA SMHD * DAUT HBT HCT * ACC DP NOE OFD * AOSS PEER * TAEC SAE TCC ICO GCO FCO * SMPD * YAD ADLT * FEM MALE * AH * VPPD * CM MHS SPS
